Genome_ID,SRA_Accession,amikacin,amoxicillin,bedaquiline,capreomycin,ciprofloxacin,clofazimine,cycloserine,delamanid,ethambutol,ethionamide,isoniazid,kanamycin,levofloxacin,linezolid,moxifloxacin,ofloxacin,para-aminosalicylic acid,prothionamide,pyrazinamide,rifabutin,rifampin,streptomycin
1773.31559,ERS2394669,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.42443,ERS5283172,S,NA,S,S,NA,S,NA,S,S,S,S,S,S,S,S,S,S,NA,NA,S,R,R
1773.15794,SRR6398016,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,R,R
1773.18416,ERR1035193,S,NA,NA,S,NA,NA,S,NA,S,S,R,S,NA,NA,S,S,S,NA,R,NA,R,R
1773.2959,ERR550761,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,S,NA,NA,NA,NA,NA,NA,NA,S,NA,S,S
1773.3047,ERR552460,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,S,NA,NA,NA,NA,NA,NA,NA,S,NA,S,S
1773.31121,ERS1987115,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.3155,ERR552458,S,S,NA,S,NA,NA,NA,NA,R,NA,R,NA,NA,NA,NA,NA,NA,NA,R,NA,R,R
1773.3168,ERR552410,S,S,NA,S,NA,NA,NA,NA,S,NA,R,NA,NA,NA,NA,NA,NA,NA,S,NA,R,R
1773.3187,ERR552065,R,S,NA,S,NA,NA,NA,NA,R,NA,R,NA,NA,NA,NA,NA,NA,NA,S,NA,R,R
1773.3233,ERR552819,R,S,NA,R,NA,NA,NA,NA,S,NA,R,NA,NA,NA,NA,NA,NA,NA,R,NA,R,R
1773.3296,ERR550897,R,S,NA,R,NA,NA,NA,NA,S,NA,R,NA,NA,NA,NA,NA,NA,NA,S,NA,R,R
1773.3329,ERR552677,S,S,NA,S,NA,NA,S,NA,S,NA,R,NA,NA,NA,NA,S,S,S,S,NA,R,R
1773.33732,ERS5298058,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.35344,ERS5302577,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.356,ERR038283,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,S,NA,NA,NA,NA,NA,NA,NA,S,NA,S,NA
1773.3569,ERR038293,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,S,NA,NA,NA,NA,NA,NA,NA,S,NA,S,NA
1773.3609,ERR040095,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,S,NA,NA,NA,NA,NA,NA,NA,S,NA,S,NA
1773.3666,ERR046776,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,S,NA,NA,NA,NA,NA,NA,NA,S,NA,S,NA
1773.3767,ERS5319086,R,NA,NA,R,NA,NA,NA,NA,S,NA,S,R,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.3768,ERR046895,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,S,NA,NA,NA,NA,NA,NA,NA,S,NA,S,NA
1773.3769,SRR2100092,NA,NA,NA,NA,S,NA,NA,NA,S,NA,S,NA,NA,NA,NA,NA,NA,NA,S,NA,S,NA
1773.3771,ERR046904,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,S,NA,NA,NA,NA,NA,NA,NA,S,NA,S,NA
1773.38184,ERS5319963,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.38761,ERS5320680,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.39388,ERS6403165,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.39837,ERS6403691,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.40061,ERS6421614,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.42015,ERS5282707,S,NA,S,S,NA,S,NA,R,R,R,S,S,R,S,R,S,S,NA,NA,S,S,R
1773.42451,ERS5283171,S,NA,S,S,NA,S,NA,S,R,S,R,S,R,S,R,S,S,NA,NA,R,R,R
1773.4993,SRR2101303,S,S,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,S,NA,NA,NA,S,NA,S,S
1773.5049,SRR2101376,NA,S,NA,NA,NA,NA,NA,NA,S,NA,S,NA,NA,NA,S,NA,NA,NA,NA,NA,S,NA
1773.5052,SRR2101379,S,S,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,S,NA,NA,NA,NA,NA,NA,S
1773.5299,SRR2101641,S,S,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,S,NA,NA,NA,S,NA,R,S
1773.545,SRR2101808,S,S,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,S,NA,NA,NA,S,NA,S,S
1773.5515,ERR552935,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,S,NA,NA,NA,NA,NA,NA,NA,S,NA,R,R
1773.5628,ERR400483,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,S,NA,NA,NA,NA,NA,NA,NA,S,NA,S,S
1773.16052,SRR6398075,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,R,S
1773.18207,ERR1873444,R,NA,NA,S,NA,NA,S,NA,S,S,R,R,NA,NA,R,S,S,NA,R,NA,R,S
1773.21006,ERR3256182,S,NA,NA,S,NA,NA,NA,NA,R,NA,R,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.31257,ERS1987205,S,NA,NA,S,NA,NA,NA,NA,S,NA,R,S,NA,NA,NA,S,NA,NA,NA,NA,R,R
1773.31558,ERS2394668,S,NA,NA,S,NA,NA,NA,NA,S,NA,R,S,NA,NA,NA,S,NA,NA,NA,NA,R,R
1773.31651,ERS2394806,S,NA,NA,S,NA,NA,NA,NA,S,NA,R,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.31663,ERS2394821,S,NA,NA,S,NA,NA,NA,NA,S,NA,R,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.31737,ERS2394943,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.32114,ERS3371896,S,NA,NA,S,NA,NA,NA,NA,S,NA,R,S,NA,NA,NA,S,NA,NA,NA,NA,R,R
1773.32129,ERS3371916,S,NA,NA,S,NA,NA,NA,NA,S,NA,R,S,NA,NA,NA,S,NA,NA,NA,NA,R,R
1773.32502,ERS5281519,S,NA,NA,S,NA,NA,NA,NA,R,NA,R,S,NA,NA,NA,S,NA,NA,NA,NA,R,R
